B365Player1,B365Player2,Best of,Date,Player1Pts,Player1Rank,Player1,Player1Sets,Round,Series,Surface,Player2Pts,Player2Rank,Player2,Player2Sets,Winner
1.72,2.0,3,2014-02-07,614,91,Mayer L.,0,Quarterfinals,ATP250,Clay,627,85,Gimeno-Traver D.,0,Mayer L.
3.0,1.36,3,2014-02-07,985,44,Chardy J.,0,Quarterfinals,ATP250,Clay,2100,15,Fognini F.,0,Fognini F.
1.1,7.0,3,2014-02-07,1930,18,Almagro N.,0,Quarterfinals,ATP250,Clay,213,226,Daniel T.,0,Almagro N.
2.1,1.72,3,2014-02-08,703,71,Giraldo S.,0,Semifinals,ATP250,Clay,614,91,Mayer L.,0,Mayer L.
1.72,2.1,3,2014-02-08,2100,15,Fognini F.,0,Semifinals,ATP250,Clay,1930,18,Almagro N.,0,Fognini F.
4.33,1.22,3,2014-02-09,614,91,Mayer L.,0,The Final,ATP250,Clay,2100,15,Fognini F.,0,Fognini F.
01.03,15.0,3,2014-02-03,1085,37,Cilic M.,0,1st Round,ATP250,Hard,110,370,Delic M.,0,Cilic M.
2.5,1.5,3,2014-02-03,609,92,Huta Galung J.,0,1st Round,ATP250,Hard,602,93,Becker B.,0,Becker B.
1.4,2.75,3,2014-02-04,547,101,Lajovic D.,0,1st Round,ATP250,Hard,109,373,Krstin P.,0,Lajovic D.
1.9,1.8,3,2014-02-04,210,229,Pavic A.,0,1st Round,ATP250,Hard,117,358,Phau B.,0,Phau B.
1.16,5.0,3,2014-02-04,360,148,Berrer M.,0,1st Round,ATP250,Hard,147,303,Coric B.,0,Berrer M.
2.0,1.72,3,2014-02-04,481,119,Struff J.L.,0,1st Round,ATP250,Hard,547,102,Lacko L.,0,Lacko L.
1.8,1.9,3,2014-02-04,667,79,Karlovic I.,0,1st Round,ATP250,Hard,719,68,Brands D.,0,Karlovic I.
2.25,1.57,3,2014-02-05,540,106,Hajek J.,0,1st Round,ATP250,Hard,362,147,Evans D.,0,Evans D.
2.37,1.53,3,2014-02-05,671,78,Sela D.,0,1st Round,ATP250,Hard,911,49,Rosol L.,0,Sela D.
1.36,3.0,3,2014-02-05,636,83,Stakhovsky S.,0,1st Round,ATP250,Hard,382,142,Kuznetsov An.,0,Kuznetsov An.
1.66,2.1,3,2014-02-05,620,87,Golubev A.,0,1st Round,ATP250,Hard,700,73,Hanescu V.,0,Golubev A.
2.5,1.5,3,2014-02-05,514,112,Kavcic B.,0,1st Round,ATP250,Hard,740,63,Sijsling I.,0,Sijsling I.
1.1,7.0,3,2014-02-05,1085,37,Cilic M.,0,2nd Round,ATP250,Hard,547,101,Lajovic D.,0,Cilic M.
1.8,1.9,3,2014-02-06,547,102,Lacko L.,0,2nd Round,ATP250,Hard,671,78,Sela D.,0,Sela D.
5.0,1.16,3,2014-02-06,117,358,Phau B.,0,2nd Round,ATP250,Hard,2145,14,Youzhny M.,0,Phau B.
1.5,2.5,3,2014-02-06,360,148,Berrer M.,0,2nd Round,ATP250,Hard,362,147,Evans D.,0,Evans D.
